feature,importance
 Continuous interest rate (after tax),0.27121952
 Retained Earnings to Total Assets,0.09154691
 Total debt/Total net worth,0.056111485
 Net Income to Stockholder's Equity,0.045634188
 Borrowing dependency,0.040546264
 ROA(C) before interest and depreciation before interest,0.016530065
 Interest-bearing debt interest rate,0.01370733
 Non-industry income and expenditure/revenue,0.013230207
 Current Liability to Assets,0.01315263
 Net Income to Total Assets,0.012498094
 Interest Expense Ratio,0.011785922
 Total assets to GNP price,0.0111497585
 Allocation rate per person,0.010987018
 Contingent liabilities/Net worth,0.010957389
 Realized Sales Gross Margin,0.010559719
